START f=3 n=27..101 precision=512 runtime_sha256=4AD4BAD7CECE561102B84C4983BD4C50D1BC39D59DA4D1ECD3D04BC7ADA9319F root_steps=12 panels=4 angle_steps=32 max_depth=72 max_boxes=500000
CASE f=3 n=27 phase=corner boxes=555 positive=79 pruned=199 depth=11 smallest=0.011995174278428243 seconds=0.123983
CASE f=3 n=27 phase=lower boxes=43265 positive=0 pruned=21633 depth=21 smallest=inf seconds=62.351341
CASE f=3 n=27 phase=open boxes=20317 positive=0 pruned=10159 depth=21 smallest=inf seconds=19.238588
CASE f=3 n=28 phase=corner boxes=609 positive=73 pruned=232 depth=11 smallest=0.03301817339163711 seconds=0.109734
CASE f=3 n=28 phase=lower boxes=44149 positive=0 pruned=22075 depth=21 smallest=inf seconds=44.058857
CASE f=3 n=28 phase=open boxes=22401 positive=0 pruned=11201 depth=21 smallest=inf seconds=20.630206
CASE f=3 n=29 phase=corner boxes=647 positive=71 pruned=253 depth=11 smallest=0.018117987016637447 seconds=0.119124
CASE f=3 n=29 phase=lower boxes=46555 positive=0 pruned=23278 depth=21 smallest=inf seconds=46.972541
CASE f=3 n=29 phase=open boxes=23559 positive=0 pruned=11780 depth=21 smallest=inf seconds=21.694241
CASE f=3 n=30 phase=corner boxes=681 positive=85 pruned=256 depth=11 smallest=0.013952029987984544 seconds=0.122669
CASE f=3 n=30 phase=lower boxes=47685 positive=0 pruned=23843 depth=21 smallest=inf seconds=57.065707
CASE f=3 n=30 phase=open boxes=25991 positive=0 pruned=12996 depth=21 smallest=inf seconds=31.596202
CASE f=3 n=31 phase=corner boxes=705 positive=95 pruned=258 depth=11 smallest=0.04554676346547583 seconds=0.182780
CASE f=3 n=31 phase=lower boxes=48981 positive=0 pruned=24491 depth=21 smallest=inf seconds=66.024068
CASE f=3 n=31 phase=open boxes=27051 positive=0 pruned=13526 depth=21 smallest=inf seconds=50.827026
CASE f=3 n=32 phase=corner boxes=725 positive=109 pruned=254 depth=11 smallest=0.04463432589730265 seconds=0.173908
CASE f=3 n=32 phase=lower boxes=52271 positive=0 pruned=26136 depth=21 smallest=inf seconds=60.173380
CASE f=3 n=32 phase=open boxes=27923 positive=0 pruned=13962 depth=21 smallest=inf seconds=32.217681
CASE f=3 n=33 phase=corner boxes=739 positive=121 pruned=249 depth=11 smallest=0.005961208967232067 seconds=0.162131
CASE f=3 n=33 phase=lower boxes=54965 positive=0 pruned=27483 depth=21 smallest=inf seconds=71.981265
CASE f=3 n=33 phase=open boxes=29705 positive=0 pruned=14853 depth=21 smallest=inf seconds=28.079999
CASE f=3 n=34 phase=corner boxes=757 positive=136 pruned=243 depth=11 smallest=0.01102828650445389 seconds=0.161260
CASE f=3 n=34 phase=lower boxes=59223 positive=0 pruned=29612 depth=21 smallest=inf seconds=61.319842
CASE f=3 n=34 phase=open boxes=30411 positive=0 pruned=15206 depth=21 smallest=inf seconds=28.695933
CASE f=3 n=35 phase=corner boxes=777 positive=154 pruned=235 depth=12 smallest=0.0166606084891621 seconds=0.175935
CASE f=3 n=35 phase=lower boxes=59789 positive=0 pruned=29895 depth=21 smallest=inf seconds=59.565625
CASE f=3 n=35 phase=open boxes=31275 positive=0 pruned=15638 depth=21 smallest=inf seconds=29.127560
CASE f=3 n=36 phase=corner boxes=829 positive=157 pruned=258 depth=12 smallest=0.01235636800025787 seconds=0.177302
CASE f=3 n=36 phase=lower boxes=63449 positive=0 pruned=31725 depth=21 smallest=inf seconds=63.429444
CASE f=3 n=36 phase=open boxes=33671 positive=0 pruned=16836 depth=21 smallest=inf seconds=30.936885
