START pid=12492 f=3 n=37..58 precision=512 runtime_sha256=4AD4BAD7CECE561102B84C4983BD4C50D1BC39D59DA4D1ECD3D04BC7ADA9319F root_steps=12 panels=4 angle_steps=32 max_depth=72 max_boxes=500000
CASE f=3 n=37 phase=corner boxes=879 positive=161 pruned=279 depth=12 smallest=0.018812322710242052 seconds=0.175051
CASE f=3 n=37 phase=lower boxes=67587 positive=0 pruned=33794 depth=21 smallest=inf seconds=90.156193
CASE f=3 n=37 phase=open boxes=34869 positive=0 pruned=17435 depth=21 smallest=inf seconds=40.468484
CASE f=3 n=38 phase=corner boxes=919 positive=159 pruned=301 depth=12 smallest=0.02891230926798213 seconds=0.230579
CASE f=3 n=38 phase=lower boxes=68229 positive=0 pruned=34115 depth=21 smallest=inf seconds=85.417606
CASE f=3 n=38 phase=open boxes=35611 positive=0 pruned=17806 depth=21 smallest=inf seconds=43.536088
CASE f=3 n=39 phase=corner boxes=959 positive=151 pruned=329 depth=12 smallest=0.0012020968532512127 seconds=0.278185
CASE f=3 n=39 phase=lower boxes=71735 positive=0 pruned=35868 depth=21 smallest=inf seconds=95.618132
CASE f=3 n=39 phase=open boxes=36795 positive=0 pruned=18398 depth=21 smallest=inf seconds=44.999677
CASE f=3 n=40 phase=corner boxes=999 positive=164 pruned=336 depth=12 smallest=0.013670948972443031 seconds=0.250093
CASE f=3 n=40 phase=lower boxes=75959 positive=0 pruned=37980 depth=21 smallest=inf seconds=96.363755
CASE f=3 n=40 phase=open boxes=38707 positive=0 pruned=19354 depth=21 smallest=inf seconds=8.313666
CASE f=3 n=41 phase=corner boxes=1045 positive=173 pruned=350 depth=12 smallest=0.01670356106562568 seconds=0.310963
CASE f=3 n=41 phase=lower boxes=76007 positive=0 pruned=38004 depth=21 smallest=inf seconds=98.117890
CASE f=3 n=41 phase=open boxes=38521 positive=0 pruned=19261 depth=21 smallest=inf seconds=8.049759
CASE f=3 n=42 phase=corner boxes=1067 positive=183 pruned=351 depth=12 smallest=0.002806792858657643 seconds=0.336023
CASE f=3 n=42 phase=lower boxes=79157 positive=0 pruned=39579 depth=21 smallest=inf seconds=113.237815
CASE f=3 n=42 phase=open boxes=40491 positive=0 pruned=20246 depth=21 smallest=inf seconds=8.664970
